datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2015-03-20,1426784400,89.6,78.7,82.8,96.4,78.7,85.9,69.9,65.8,0.0,0.0,0.0,,,,,12.9,148.5,1010.9,49.6,6.5,269.1,23.2,9.0,05:57:44,1426805864,18:04:04,1426849444,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-21,1426870800,93.2,77.0,83.5,93.5,77.0,84.0,64.5,54.9,0.0,0.0,0.0,,,,,13.1,137.1,1012.0,45.9,6.4,305.6,26.4,10.0,05:57:08,1426892228,18:04:05,1426935845,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-22,1426957200,92.5,76.8,83.6,95.0,76.8,85.8,68.2,61.2,0.0,0.0,0.0,,,,27.7,13.4,139.8,1011.7,35.4,6.5,295.8,25.5,10.0,05:56:32,1426978592,18:04:05,1427022245,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-23,1427043600,93.2,78.8,84.4,95.0,78.8,86.4,67.7,59.4,0.0,0.0,0.0,,,,,11.9,139.1,1011.0,39.5,6.5,293.5,25.5,10.0,05:55:56,1427064956,18:04:05,1427108645,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-24,1427130000,94.3,78.8,85.2,98.0,78.8,87.7,67.9,58.0,0.0,0.0,0.0,,,,,13.0,128.3,1011.5,39.1,6.4,304.3,26.3,10.0,05:55:20,1427151320,18:04:05,1427195045,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-25,1427216400,97.2,77.7,86.6,99.7,77.7,88.4,65.8,52.4,0.0,0.0,0.0,,,,24.2,15.0,119.4,1012.0,35.4,6.5,314.7,27.2,10.0,05:54:44,1427237684,18:04:05,1427281445,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-26,1427302800,97.3,77.7,86.6,101.1,77.7,89.7,68.1,55.8,0.0,0.0,0.0,,,,24.2,12.8,118.1,1012.8,40.3,6.3,306.6,26.4,10.0,05:54:08,1427324048,18:04:05,1427367845,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-27,1427389200,97.9,78.8,86.9,103.3,78.8,89.8,67.8,54.8,0.0,0.0,0.0,,,,,14.3,108.0,1012.7,47.5,6.3,296.8,25.8,10.0,05:53:31,1427410411,18:04:05,1427454245,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-28,1427475600,97.1,77.0,86.6,101.0,77.0,89.4,67.2,54.1,0.0,0.0,0.0,,,,28.9,14.1,118.0,1011.2,50.8,6.4,287.4,25.0,10.0,05:52:55,1427496775,18:04:04,1427540644,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-03-29,1427562000,96.4,79.5,86.4,101.8,79.5,90.3,68.8,56.9,0.0,0.0,0.0,,,,24.2,13.7,127.0,1010.3,45.0,6.4,285.1,24.6,9.0,05:52:19,1427583139,18:04:04,1427627044,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
