datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
2020-09-09,1599584400,92.1,80.6,83.7,105.3,88.1,93.9,78.3,84.7,0.16,100.0,54.17,['rain'],,,,11.3,222.7,1007.9,51.9,5.7,145.7,12.7,5.0,05:43:05,1599604985,17:57:45,1599649065,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-10,1599670800,92.5,76.6,82.9,104.0,76.6,89.0,77.5,85.2,0.0,0.0,0.0,,,,36.9,13.0,271.0,1006.4,56.9,5.5,232.2,19.9,8.0,05:43:02,1599691382,17:57:07,1599735427,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-11,1599757200,90.7,77.0,82.5,105.1,77.0,89.2,77.7,86.5,0.044,100.0,37.5,['rain'],,,,8.5,306.4,1007.5,59.7,5.0,171.8,15.0,5.0,05:42:59,1599777779,17:56:28,1599821788,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-12,1599843600,93.2,78.1,83.3,106.6,78.1,89.8,77.5,84.0,0.004,100.0,4.17,['rain'],,,,12.6,281.7,1008.9,58.2,5.5,140.6,12.0,5.0,05:42:55,1599864175,17:55:50,1599908150,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-13,1599930000,89.5,77.0,80.0,102.4,77.0,83.7,77.1,91.3,0.28,100.0,8.33,['rain'],,,20.8,13.8,262.8,1009.1,64.6,5.2,119.5,10.4,4.0,05:42:51,1599950571,17:55:11,1599994511,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-14,1600016400,85.3,75.9,79.3,98.0,75.9,82.9,77.3,93.7,0.059,100.0,8.33,['rain'],,,,11.4,297.5,1008.6,59.1,4.3,128.0,11.1,5.0,05:42:48,1600036968,17:54:32,1600080872,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-15,1600102800,87.8,75.9,81.3,98.6,75.9,86.4,76.1,84.9,0.072,100.0,45.83,['rain'],,,,10.7,278.3,1008.2,59.3,5.7,189.0,16.4,7.0,05:42:44,1600123364,17:53:53,1600167233,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-16,1600189200,90.7,77.0,83.4,101.6,77.0,89.9,76.6,81.2,0.004,100.0,4.17,['rain'],,,,11.1,270.6,1007.2,55.3,6.0,189.5,16.5,6.0,05:42:40,1600209760,17:53:14,1600253594,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-17,1600275600,91.3,77.0,82.4,104.0,77.0,87.7,76.7,84.2,0.004,100.0,4.17,['rain'],,,,12.0,269.3,1004.5,56.9,5.7,94.6,8.1,3.0,05:42:37,1600296157,17:52:34,1600339954,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-18,1600362000,86.7,77.0,80.8,100.3,77.0,85.9,78.0,91.5,0.083,100.0,8.33,['rain'],,,,18.2,235.7,1003.2,77.0,5.9,98.1,8.5,3.0,05:42:33,1600382553,17:51:55,1600426315,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-19,1600448400,86.0,73.4,77.6,99.3,73.4,79.8,76.1,95.4,2.031,100.0,12.5,['rain'],,,,11.5,188.0,1007.4,68.1,5.2,102.9,8.9,3.0,05:42:29,1600468949,17:51:16,1600512676,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-20,1600534800,89.5,75.2,80.4,101.0,75.2,85.0,76.6,89.1,0.083,100.0,8.33,['rain'],,,31.1,16.3,267.3,1009.3,64.7,5.9,176.8,15.4,6.0,05:42:26,1600555346,17:50:37,1600599037,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-21,1600621200,91.5,75.9,82.2,105.6,75.9,88.4,78.0,88.6,0.02,100.0,4.17,['rain'],,,,12.7,351.3,1008.2,61.0,5.0,196.0,16.8,7.0,05:42:22,1600641742,17:49:58,1600685398,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
2020-09-22,1600707600,92.4,76.9,82.9,104.0,76.9,89.3,77.8,86.0,0.192,100.0,66.67,['rain'],,,,14.7,182.6,1007.9,57.0,5.3,242.6,21.0,8.0,05:42:19,1600728139,17:49:19,1600771759,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs,
